id,URL,headline,author,date
0,https://www.theverge.com/2023/4/6/23672760/tesla-employees-share-vehicle-recordings-privacy,Tesla employees reportedly passed around personal videos from owners’ cars,Emma Roth,2023-04-06T18:34:03
1,https://www.theverge.com/2023/4/5/23672037/syprathree-spyra-water-guns-powerful,The ‘world’s strongest water gun’ is back and wetter than ever,Mitchell Clark,2023-04-06T00:38:17
2,https://www.theverge.com/23670169/logout-button-ui-websites-design-ui-interface,The impossibility of logging off,Terry Nguyen,2023-04-06T12:30:00
3,https://www.theverge.com/2023/4/6/23673067/twitter-api-shutdown-bots-botpocalypse-begins,Twitter’s API shutdown and botpocalypse begins,Jay Peters,2023-04-06T19:15:03
4,https://www.theverge.com/2023/4/6/23673043/twitter-substack-embeds-bots-tools-api,Twitter cuts off Substack embeds and starts suspending bots,Mitchell Clark,2023-04-06T21:14:38
